﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2nTsKOXIVGDf2iPeVQO2Gm","Paranoid Android","Radiohead","OK Computer","1","2","387213","spotify:user:lordring100","2020-03-26T05:31:33Z"
"spotify:track:15VRO9CQwMpbqUYA7e6Hwg","The Man Who Sold The World","Nirvana","MTV Unplugged In New York","1","4","261093","spotify:user:lordring100","2020-03-26T05:20:24Z"
"spotify:track:50JK22El2PTIzZBU2liLDI","Mysterious Ways","U2","Achtung Baby (Deluxe Edition)","1","8","243586","spotify:user:lordring100","2020-03-26T00:56:34Z"
"spotify:track:7f0jXNMu2xjQUtmKMuWhGA","What's Up?","4 Non Blondes","Bigger, Better, Faster, More !","1","3","295493","spotify:user:lordring100","2020-03-26T20:39:02Z"
"spotify:track:7ndelVxF4Y8K6xg8WXUVMV","I Alone","Live","Throwing Copper","1","3","231688","spotify:user:lordring100","2020-03-26T20:29:21Z"
"spotify:track:6urCAbunOQI4bLhmGpX7iS","Don't Speak","No Doubt","Tragic Kingdom","1","10","263560","spotify:user:lordring100","2020-03-26T05:22:08Z"
"spotify:track:1v2zyAJrChw5JnfafSkwkJ","Shiny Happy People","R.E.M.","Out Of Time (25th Anniversary Edition)","1","6","225786","spotify:user:lordring100","2020-03-26T23:23:14Z"
"spotify:track:0vI64OhYqTo6KYswDlx0yT","Keep Talking","Pink Floyd","The Division Bell","1","9","370666","spotify:user:lordring100","2020-03-26T20:26:18Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove","Soul Asylum","Grave Dancers Union","1","1","194733","spotify:user:lordring100","2020-03-26T20:29:50Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1","1979 - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","2","5","266200","spotify:user:lordring100","2020-03-26T04:56:58Z"
"spotify:track:2oDqmfa2g8W893LlwJG1qu","Closer","Nine Inch Nails","The Downward Spiral","1","5","373000","spotify:user:lordring100","2020-03-26T04:59:31Z"
"spotify:track:3nvuPQTw2zuFAVuLsC9IYQ","Nothing Compares 2 U","Sinéad O'Connor","I Do Not Want What I Haven't Got","1","6","280040","spotify:user:lordring100","2020-03-26T05:41:27Z"
"spotify:track:5VYTKiOnHw4iTrB9pG3yum","Unbelievable","EMF","Schubert Dip","1","6","209813","spotify:user:lordring100","2020-03-26T05:02:13Z"
"spotify:track:0kEQwPz9SrMN8E5iL9cxQL","What It's Like","Everlast","Whitey Ford Sings The Blues","1","4","303133","spotify:user:lordring100","2020-03-26T20:39:45Z"
"spotify:track:2IZZqH4K02UIYg5EohpNHF","Zombie","The Cranberries","No Need To Argue","1","4","306426","spotify:user:lordring100","2020-03-26T05:04:32Z"
"spotify:track:1OxcIUqVmVYxT6427tbhDW","Fly Away","Lenny Kravitz","5","1","8","221332","spotify:user:lordring100","2020-03-26T06:17:05Z"
"spotify:track:7lQWRAjyhTpCWFC0jmclT4","Gangsta's Paradise","Coolio, L.V.","Gangsta's Paradise","1","2","240693","spotify:user:lordring100","2020-03-26T05:05:12Z"
"spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l","It's My Life","Bon Jovi","Crush","1","1","224493","spotify:user:lordring100","2020-03-26T05:06:41Z"
"spotify:track:6gZVQvQZOFpzIy3HblJ20F","Man in the Box","Alice In Chains","Facelift","1","2","284426","spotify:user:lordring100","2020-03-26T05:08:09Z"
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","Radiohead","Pablo Honey","1","2","238640","spotify:user:lordring100","2020-03-26T06:17:46Z"
"spotify:track:6QewNVIDKdSl8Y3ycuHIei","Even Flow","Pearl Jam","Ten","1","2","292580","spotify:user:lordring100","2020-03-26T05:20:37Z"
"spotify:track:1Cwsd5xI8CajJz795oy4XF","You Get What You Give","New Radicals","Maybe You've Been Brainwashed Too","1","2","300773","spotify:user:lordring100","2020-03-26T05:32:53Z"
"spotify:track:1D6nV9TPfMnWm7UdVsDVfI","Freedom! '90","George Michael","Listen Without Prejudice Vol. 1","1","2","390866","spotify:user:lordring100","2020-03-26T20:56:26Z"
"spotify:track:6DzuDDN9q4N29QXWDuQ8sx","Cats In The Cradle","Ugly Kid Joe","America's Least Wanted","1","9","242173","spotify:user:lordring100","2020-03-26T20:54:51Z"
"spotify:track:5BIMPccDwShpXq784RJlJp","Enter Sandman","Metallica","Metallica","1","1","331573","spotify:user:lordring100","2020-03-26T05:10:41Z"
"spotify:track:2qrL1YF9aA865b6SKhLZ78","Girls and Boys - 2012 Remaster","Blur","Parklife [Special Edition]","1","1","291200","spotify:user:lordring100","2020-03-26T19:56:49Z"
"spotify:track:0Yb5Kfpf3boElZNa61wPdJ","Come Out And Play (Keep ‘Em Separated)","The Offspring","Greatest Hits","1","2","197800","spotify:user:lordring100","2020-03-26T05:11:26Z"
"spotify:track:1L94M3KIu7QluZe63g64rv","Alive","Pearl Jam","Ten","1","3","340907","spotify:user:lordring100","2020-03-26T05:12:25Z"
"spotify:track:5tVA6TkbaAH9QMITTQRrNv","Free Fallin'","Tom Petty","Full Moon Fever","1","1","256000","spotify:user:lordring100","2020-03-26T05:14:30Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","1","11","264306","spotify:user:lordring100","2020-03-26T00:55:02Z"
